"Historical price chart data"
"Date: 26/08/2016 - 02/09/2016"
"AEX-INDEX"
"ISIN","MIC","Date","Open","High","Low","Close","Number of Shares","Number of Trades","Turnover","Currency"
"NL0000000107","Euronext Amsterdam","26/08/2016","449.45","453.71","448.43","453.01","0.00","0.00","1052791558.67","EUR"
"NL0000000107","Euronext Amsterdam","29/08/2016","451.29","452.72","448.55","452.15","0.00","0.00","616772117.58","EUR"
"NL0000000107","Euronext Amsterdam","30/08/2016","453.73","457.70","453.37","455.82","0.00","0.00","1159406965.57","EUR"
"NL0000000107","Euronext Amsterdam","31/08/2016","455.56","457.92","454.22","454.38","0.00","0.00","1491556793.28","EUR"
"NL0000000107","Euronext Amsterdam","01/09/2016","455.72","458.68","452.50","453.87","0.00","0.00","1508548994.53","EUR"
"NL0000000107","Euronext Amsterdam","02/09/2016","455.31","464.47","454.25","463.60","0.00","0.00","1804523202.73","EUR"
